species,Longitude,Latitude
phytopathogens,31.3749239,-17.8571541
phytopathogens,31.3705418,-17.8426894
phytopathogens,31.3656215,-17.8333924
phytopathogens,31.3846826,-17.8339843
phytopathogens,31.3908924,-17.8458982
phytopathogens,31.384619,-17.8539176
phytopathogens,30.9948838,-17.8833451
phytopathogens,31.3617117,-17.8615183
phytopathogens,31.3495942,-17.8662345
phytopathogens,31.3367809,-17.8564744
phytopathogens,31.347677,-17.8484703
phytopathogens,31.3522395,-17.8388113
phytopathogens,31.3557784,-17.8182861
phytopathogens,31.3645195,-17.8123451
phytopathogens,31.3785329,-17.8177549
phytopathogens,31.3963753,-17.8259626
phytopathogens,31.4075876,-17.816739
phytopathogens,31.4209933,-17.83367
phytopathogens,31.4207786,-17.8454855
phytopathogens,31.4203712,-17.8578969
phytopathogens,31.3993855,-17.8728813
phytopathogens,31.3877613,-17.8685138
phytopathogens,31.3648,-17.8512563
phytopathogens,31.3697367,-17.8744467
phytopathogens,31.3811979,-17.8806565
phytopathogens,31.3718649,-17.897468
phytopathogens,31.3845876,-17.9012632
phytopathogens,31.3986731,-17.8952618
phytopathogens,32.48888397,-16.9362888
phytopathogens,32.01806,-17.095522
phytopathogens,32.56496,-17.040377
phytopathogens,32.615365,-17.041128
phytopathogens,32.617824,-17.56347
phytopathogens,32.47891,-17.065424
phytopathogens,32.584294,-17.008482
phytopathogens,32.745022,-17.024045
phytopathogens,32.714187,-16.98877
phytopathogens,32.790209,-17.011593
phytopathogens,32.714797,-16.999307
phytopathogens,32.316057,-16.959148
phytopathogens,32.5157699,-16.94958
phytopathogens,32.620015,-17.89952
phytopathogens,32.57745,-17.052008
phytopathogens,32.65424,-17.073004
phytopathogens,32.58202,-17.06255
phytopathogens,32.54577,-17.047945
phytopathogens,32.56415,-17.062615
phytopathogens,32.739983,-17.07125
phytopathogens,32.683066,-16.990415
phytopathogens,32.723729,-17.003125
phytopathogens,32.726704,-17.015047
phytopathogens,32.755697,-17.025148
phytopathogens,32.6444073,-16.989335
phytopathogens,32.622893,-17.081907
phytopathogens,32.587858,-17.046595
phytopathogens,32.51848,-17.012527
phytopathogens,32.14675,-17.087344
phytopathogens,32.566795,-17.050193
phytopathogens,32.23178,-17.109526
phytopathogens,32.5833,-17.01895
phytopathogens,32.574573,-17.008807
phytopathogens,32.741417,-17.014225
phytopathogens,32.593291,-17.028604
phytopathogens,32.5755421,-17.03687667
phytopathogens,32.318137,-16.944925
phytopathogens,32.1623223,-17.097275
phytopathogens,32.60859,-17.081633
phytopathogens,32.519053,-16.958217
phytopathogens,32.628145,-17.097438
phytopathogens,32.56127,-17.65418
phytopathogens,32.562807,-17.007566
phytopathogens,32.60371,-17.030472
phytopathogens,32.584963,-17.034712
phytopathogens,31.5579397,-17.8195068
phytopathogens,31.5978066,-17.8240232
phytopathogens,31.5516721,-17.8288652
phytopathogens,31.5685231,-17.8240345
phytopathogens,31.56472,-17.8123783
phytopathogens,31.5793457,-17.8171057
phytopathogens,31.5914988,-17.8158222
phytopathogens,31.5997973,-17.8101923
phytopathogens,31.6136228,-17.815151
phytopathogens,32.47876047,-17.27029793
phytopathogens,32.4727096,-17.278127
phytopathogens,32.27119,-17.388498
phytopathogens,32.44865977,-17.25357602
phytopathogens,32.2860014,-17.3797557
phytopathogens,32.2893514,-17.3885185
phytopathogens,32.0905746,-17.3769811
phytopathogens,32.0706857,-17.3708898
phytopathogens,32.0692557,-17.3808337
phytopathogens,32.0738917,-17.398925
phytopathogens,32.1037996,-17.4134734
phytopathogens,32.0635597,-17.40505
phytopathogens,32.1040147,-17.403358
phytopathogens,32.3746425,-17.2806855
phytopathogens,32.350434,-17.2977498
phytopathogens,32.3707573,-17.2900584
phytopathogens,32.3404028,-17.2999347
phytopathogens,32.3799111,-17.2946
phytopathogens,32.3316826,-17.3038893
phytopathogens,32.0757897,-17.4077617
phytopathogens,29.0722621,-18.121179
phytopathogens,29.0501293,-18.0980275
phytopathogens,29.0692518,-18.1125368
phytopathogens,29.0533602,-18.117915
phytopathogens,29.1146701,-18.1219693
