species,latitude,longitude
phytopathogens,-17.8571541,31.3749239
phytopathogens,-17.8426894,31.3705418
phytopathogens,-17.8423353,31.370235
phytopathogens,-17.8333924,31.3656215
phytopathogens,-17.8339843,31.3846826
phytopathogens,-17.8337044,31.3867116
phytopathogens,-17.8349726,31.3897796
phytopathogens,-17.8432398,31.3913232
phytopathogens,-17.8458982,31.3908924
phytopathogens,-17.8539176,31.384619
phytopathogens,-17.8833451,30.9948838
phytopathogens,-17.8615183,31.3617117
phytopathogens,-17.8662345,31.3495942
phytopathogens,-17.8634776,31.3448532
phytopathogens,-17.8593283,31.3416683
phytopathogens,-17.8564744,31.3367809
phytopathogens,-17.8501679,31.3424637
phytopathogens,-17.8484703,31.347677
phytopathogens,-17.8388113,31.3522395
phytopathogens,-17.8182861,31.3557784
phytopathogens,-17.8123451,31.3645195
phytopathogens,-17.8177549,31.3785329
phytopathogens,-17.8259626,31.3963753
phytopathogens,-17.816739,31.4075876
phytopathogens,-17.83367,31.4209933
phytopathogens,-17.8454855,31.4207786
phytopathogens,-17.8467148,31.4211266
phytopathogens,-17.8578969,31.4203712
phytopathogens,-17.8728813,31.3993855
phytopathogens,-17.8685138,31.3877613
phytopathogens,-17.8589144,31.3818366
phytopathogens,-17.8512563,31.3648
phytopathogens,-17.8665823,31.365152
phytopathogens,-17.8712761,31.3725921
phytopathogens,-17.8733094,31.3717373
phytopathogens,-17.8770078,31.3730561
phytopathogens,-17.8788945,31.3726893
phytopathogens,-17.8800431,31.3709757
phytopathogens,-17.8788224,31.3693279
phytopathogens,-17.8771337,31.3692983
phytopathogens,-17.8744467,31.3697367
phytopathogens,-17.8721772,31.3705038
phytopathogens,-17.8806565,31.3811979
phytopathogens,-17.89105,31.3751406
phytopathogens,-17.897468,31.3718649
phytopathogens,-17.9012632,31.3845876
phytopathogens,-17.90096,31.3921733
phytopathogens,-17.8982892,31.3972814
phytopathogens,-17.8952618,31.3986731
phytopathogens,-17.9033352,31.3930082
phytopathogens,-16.959148,32.316057
phytopathogens,-16.959148,32.316057
phytopathogens,-16.944925,32.318137
phytopathogens,-16.958217,32.519053
phytopathogens,-16.958217,32.519053
phytopathogens,-16.9362888,32.48888397
phytopathogens,-16.960512,32.514253
phytopathogens,-16.9362888,32.48888397
phytopathogens,-16.960512,32.514253
phytopathogens,-17.081453,32.603888
phytopathogens,-17.095522,32.01806
